4000 30000
2250 2540 180674
2459 3892 434122
2321 3289 363503
1975 2754 374161
3283 3759 45954
711 3596 978769
1468 3899 109177
1044 2661 538264
1182 1224 795164
3664 3745 221217
1994 2209 471756
2237 3236 358214
1526 1710 220886
631 1214 918861
265 3727 734619
975 1681 154566
802 2442 530465
1454 1980 443860
596 2677 745394
2692 3760 501138
900 977 459132
487 1085 9720
2197 3300 411245
538 3762 479875
3488 3751 16491
1520 2370 681465
1289 2321 624258
106 652 946063
318 1247 825091
1359 1712 551782
2687 2851 269034
2335 3772 157520
55 3423 167716
312 3653 179477
63 3880 83316
372 2784 408835
72 2189 651156
177 2448 952159
847 863 333758
1955 2558 591116
1737 1760 978154
94 2771 450277
149 644 882051
153 360 494363
32 190 722425
403 3506 817208
342 2592 449632
1391 3850 150160
9 2253 879006
559 1767 381564
1235 2648 675323
1770 3742 735769
2019 2413 56269
423 3125 564421
2786 3666 256452
1563 3523 665207
2771 3864 955798
65 755 301540
426 2916 132144
1922 2544 272703
131 3838 307702
3514 3872 473471
2242 3635 960236
2664 3904 419360
677 1801 579377
1129 3363 490899
2134 2688 79115
2838 3240 995179
378 2155 223956
429 875 66500
618 1578 146630
131 1632 958853
3103 3765 437094
20 3691 496110
696 3403 113910
2177 2780 529273
864 2032 75758
54 1147 202997
431 678 61152
635 1305 561932
3234 3487 570549
1217 2117 795032
320 970 971148
362 2416 155168
2526 3765 944215
437 2896 594743
927 1710 255607
1468 2073 948012
465 3103 424442
1969 3737 366099
3223 3901 45684
1691 2803 770901
1835 2660 531572
983 1075 287933
151 3601 492049
389 719 206945
2098 3462 439871
3421 3917 786296
381 3433 241398
228 2702 545486
2327 2954 765060
363 1756 46750
3590 3616 865761
573 3188 142835
1075 3474 406787
1793 3523 255175
1607 2820 733624
1027 3044 401540
460 1340 978273
1039 3090 524974
928 3717 636279
79 1988 850035
738 3695 993976
2499 3234 6548
1686 2707 591975
474 2582 178119
1 1401 359725
796 1978 908752
2487 3518 289563
1576 1791 926601
2503 3117 702317
490 3749 178747
1579 1784 610441
77 112 78027
1763 3013 836733
2588 2988 411314
1459 2940 525067
917 1185 134214
435 2289 508701
204 2577 922628
2046 3157 921483
1794 1826 270324
573 3929 15903
40 3367 23979
1394 3052 470093
2391 2479 244680
1794 3850 151972
1034 3213 892888
1427 3674 385322
2480 3877 640251
1109 3385 666296
1210 2592 132441
916 1782 372369
819 1500 896408
1151 2893 743812
1372 3244 990202
277 3517 330051
249 3081 123084
859 1137 827109
2812 3339 215337
447 3415 730721
1711 3390 591930
305 2504 977712
1476 2873 531211
2978 3281 330456
2221 3093 695827
1648 2849 587695
3449 3699 14775
938 3136 627633
101 2245 451323
1583 3515 892121
304 1577 871510
80 235 176167
2299 2952 305642
1862 2584 316619
318 2029 679191
497 3676 154392
544 3374 377840
2861 3319 758777
1106 3305 198877
2628 2688 338391
3102 3343 876319
2612 3929 912398
2227 2779 851701
421 441 74285
1110 1392 356665
936 1607 172692
2150 3328 336065
1168 1821 518926
298 1477 548383
456 3175 123422
1919 3557 974764
2169 2238 727045
1299 2989 841623
2072 2690 366063
1327 3463 147173
398 1992 397131
2684 3725 703632
1245 3102 81452
1542 2380 707280
1068 3115 999736
2537 3338 367292
1653 1928 197812
698 916 151111
2322 3957 49182
737 1284 724996
3627 3910 341394
1393 2663 85470
1026 2116 335066
847 2478 848959
1759 3961 826027
1847 2849 153716
501 1491 675643
1551 3304 336910
224 2767 472867
960 3949 190502
945 1222 846480
2614 2691 613494
514 3639 827609
2469 3932 556807
579 892 316767
2425 3271 263615
987 3915 888468
983 3570 402018
1893 2336 678593
2636 3112 567904
1614 3933 217125
447 2623 56091
1941 3488 755729
1903 3420 946549
311 2710 303127
3830 3933 857903
919 3445 978170
265 1901 378091
2635 3794 692427
1228 2905 519414
871 1133 551346
1669 2610 162321
2701 3961 437808
1863 2431 745579
573 980 901889
402 460 281821
198 2715 39092
463 885 332992
2977 3097 533137
677 3756 112394
1809 3170 777616
418 2869 891636
1190 3471 551596
1901 3350 101459
930 3232 614383
43 3171 407136
1345 2758 259685
437 3994 60499
1781 3322 727948
3077 3271 940624
17 2599 782784
1467 1985 471553
1621 3008 63023
1217 2357 829275
3028 3638 200507
1411 2809 28901
505 899 139658
585 1293 60004
1084 3073 135325
1032 2695 90754
1656 3063 929352
792 1047 235170
346 2667 170529
236 3369 173237
997 3263 988875
1026 1504 552035
1924 2757 144539
2416 2508 321831
2772 3592 933255
975 2097 28302
851 2983 719364
2555 3774 816763
471 2077 179429
192 606 908016
1188 1844 71279
3043 3071 316304
1799 3106 566579
566 3997 49087
1828 3337 857030
1434 3435 202004
2636 3737 57338
1191 3102 173112
217 3619 569934
225 3998 278125
15 2420 643312
1842 3646 382354
302 1299 40505
1295 2881 241070
3474 3968 560407
1350 2908 650192
2645 3707 601179
1045 2098 342721
2314 2509 626340
444 2311 138916
2677 2921 53687
2234 2322 359528
940 2623 124826
1445 1856 10472
1823 2868 821945
3275 3525 8852
1819 3231 115848
627 2998 345945
1720 3136 548610
412 3931 903273
2851 3328 317949
1015 1436 896623
895 2728 955597
524 2073 61452
545 3391 263275
2490 3017 967151
835 3342 342381
185 3543 479007
1840 2256 66494
2451 2667 158424
2076 2346 65627
377 3712 915062
606 1000 121789
598 3030 726313
2050 3574 486055
1677 2415 445072
1180 2108 769906
1650 3561 94442
2921 3490 728697
1415 2292 331715
192 367 526060
1095 1819 881771
881 2095 274728
3023 3044 829757
1445 1688 73682
3474 3743 312096
653 815 70204
214 3074 463853
1516 3486 871694
900 2214 325985
1091 1929 762703
342 2909 499798
142 2113 433892
1194 3516 553287
1203 3303 886731
945 986 730204
1434 2112 567209
1185 3990 707422
3052 3844 695259
1265 3890 48158
1876 3546 473601
239 579 520861
377 2351 105002
2621 3896 380517
260 3199 590071
536 2992 703368
1548 1969 165479
757 2311 779015
531 2154 122066
2395 3790 439683
270 301 63580
1201 1902 519818
1929 2763 206520
118 550 398416
809 987 957966
152 3059 442501
2052 2427 196821
258 2808 291131
3273 3691 705636
1691 3832 312031
132 1374 952652
954 2385 873852
772 1500 91781
